distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
2363.276366477362,Iglesia de Dios (Verbo de Dios),CALLE PUERTO DE POZAZAL 25 A,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
5251.587429900459,Iglesia de Dios Pentecostal Movimiento Internacional de Madrid,CALLEJON GOMEZ ACEBO 14,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
388.1366086879572,Iglesia de Jesucristo de los Santos de los Últimos Días. Templo de Madrid,CALLE TEMPLO 2,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
2195.122337979997,Iglesia de Los Elegidos de Dios,"CALLE FARO 8 Local 4, Posterior",Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
725.3017826831704,Iglesia de María Reina,CALLE PICO DE LA MALICIOSA 9,Templos católicos,226 - Sierra Toledana,Camino de Valderribas nº 94
88.3665385150942,Iglesia de Nuestra Señora de las Maravillas,CALLE DOS DE MAYO 11,Templos católicos,11 - San Andrés,Calle San Andrés nº 18
1.8857809998311144,Iglesia de San Antón,CALLE HORTALEZA 63,Templos católicos,6 - Colegio Arquitectos,Calle Hortaleza nº 63
456.1328678653293,Iglesia de San Felipe Neri,CAMINO VALDERRIBAS 39,Templos católicos,226 - Sierra Toledana,Camino de Valderribas nº 94
243.01676671862154,Iglesia de Scientology de España,CALLE SANTA CATALINA 7 esquina calle Prado,Templos no católicos,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
128.18824167792465,Iglesia de la Santísima Trinidad (Trinitarios),CALLE ECHEGARAY 30,Templos católicos,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10
97.1311080607304,Iglesia del Espíritu Santo,CALLE SERRANO 125,Templos católicos,250 - Serrano 113,Calle Serrano nº 113B
229.26510907976487,Iglesia del Santo Niño del Remedio,CALLE DONADOS 6,Templos católicos,25b - Plaza de Celenque B,Plaza de Celenque nº 1
2682.382231592303,Iglesia evangélica Asociación Darse,CALLE CASTROJERIZ 5,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
1891.617816134353,Iglesia evangélica Asociación Fietgratia Ong,CALLE RUFINO GONZALEZ 13 PLANTA 1ª,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
1366.9987460732527,Iglesia evangélica Asociación Fuente de Vida de la Sierra,CALLE TERCIO 8 PLANTA 1ª,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
1395.434877156957,Iglesia evangélica Asociación Proyecto Ayuda en la Calle PAC-ONG,CALLE VICENTE CAMARON 41 PLANTA 3ª,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
257.8033392398822,Iglesia evangélica Asociación de Educadores Evangélicos de Madrid,CALLE MARIA PEDRAZA 11,Templos no católicos,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1
170.1515175539722,Iglesia evangélica Fundación Federico Fliedner,CALLE BRAVO MURILLO 85,Templos no católicos,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
2343.3362742001827,Iglesia evangélica Ministerio Reconciliación y Restauración Yo Soy,CALLE TUCAN 1,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
1105.7473349866825,Iglesia evangélica. Calle Marquesa de Argüeso,CALLE MARQUESA DE ARG&amp;Uuml;ESO 22,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
4871.2442350006595,Madrid International Church,CALLE CIDRO 14 PLANTA BAJO Polígono Aguacate,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
399.46083285061616,Ministerio Bautista Internacional Madrid,CALLE ASCAO 62 LOCAL,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
395.0982472315934,Ministerio Pastoral Misionero por amor  su Cruz,CALLE ALGODONALES 40 PLANTA BAJO EXTERIOR,Templos no católicos,206 - Metro Tetuán,Calle Marqués de Viana nº 3
147.12923383752977,Misión Evangélica Urbana,CALLE CALVARIO 12,Templos no católicos,43 - Jesús y María,Calle Lavapiés nº 34
189.17072383046377,Monasterio de Nuestra Señora de las Maravillas (Carmelitas Calzadas de la antigua observancia),CALLE PRINCIPE DE VERGARA 23,Templos católicos,91 - Príncipe de Vergara,Calle Hermosilla nº 70
89.9619571165307,Monasterio de San Plácido (Benedictinas),CALLE SAN ROQUE 9,Templos católicos,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2
284.083427732551,Monasterio de la Inmaculada y San Pascual (Clarisas),PASEO RECOLETOS 11,Templos católicos,86 - Cibeles,Plaza Cibeles
228.78116534932,Monasterio de la Santísima Trinidad y de San Ildefonso (Trinitarias),CALLE LOPE DE VEGA 18,Templos católicos,41 - Antón Martín,Calle Atocha nº 54
89.52800402671,Monasterio del Corpus Christi (Jerónimas 'Carboneras'),PLAZA CONDE DE MIRANDA 3,Templos católicos,35 - Plaza del Cordón,Plaza del Cordón
2006.456799118905,Nuestra Señora de la Merced - Parroquia personal de habla inglesa,CALLE BELLA ALTISIDORA 6,Templos católicos,217 - Pedro Rico,Calle Pedro Rico nº 4
1216.9172494216803,Nuevas Fronteras Madrid,CALLE VALLE DE CACHEMIRA 28,Templos no católicos,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
210.52501770830003,Oratorio San Felipe Neri,CALLE ANTONIO ARIAS 17,Templos católicos,63 - Ibiza,Calle Ibiza nº 62
